ID ,Water consumption (MGal/year),Fuel type,Cooling ID
OK_15474_8059_1G1_7252_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
OK_15474_8059_1G2_7251_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
OK_15474_8059_1G2_7252_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
FL_6455_7302_1GT_1A_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
FL_6455_7302_1GT_1B_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
GA_13994_55382_1GT1_1H1100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
GA_13994_55382_1GT1_1H2100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
OH_59924_55736_1GT1_1HR1_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
OH_59924_55736_1GT1_1HR2_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
FL_6455_7302_1GT2_1A_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
FL_6455_7302_1GT2_1B_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
GA_13994_55382_1GT2_1H1100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
GA_13994_55382_1GT2_1H2100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
OH_59924_55736_1GT2_1HR1_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
OH_59924_55736_1GT2_1HR2_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
FL_6455_628_1GTA_CC1BA_CC1CS_Natural Gas and Other Gases,1379.2,Natural Gas and Other Gases,FL_6455_628_CC1CS
FL_6455_628_1GTA_CC1BB_CC1CS_Natural Gas and Other Gases,1379.2,Natural Gas and Other Gases,FL_6455_628_CC1CS
FL_6455_628_1GTB_CC1BA_CC1CS_Natural Gas and Other Gases,1379.2,Natural Gas and Other Gases,FL_6455_628_CC1CS
FL_6455_628_1GTB_CC1BB_CC1CS_Natural Gas and Other Gases,1379.2,Natural Gas and Other Gases,FL_6455_628_CC1CS
OK_15474_8059_1S_7251_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
OK_15474_8059_1S_7252_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
FL_6455_7302_1ST_1A_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
FL_6455_7302_1ST_1B_1_Natural Gas and Other Gases,7926.66,Natural Gas and Other Gases,FL_6455_7302_1
OH_59924_55736_1ST_1HR1_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
OH_59924_55736_1ST_1HR2_1CCW_Natural Gas and Other Gases,1552.1860000000001,Natural Gas and Other Gases,OH_59924_55736_1CCW
FL_6452_56407_1ST_PWC11_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1ST_PWC12_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1ST_PWC13_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_60345_1ST_1_COOLT_Natural Gas and Other Gases,2130.2850000000003,Natural Gas and Other Gases,FL_6452_60345_COOLT
GA_13994_55382_1STG_1H1100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
GA_13994_55382_1STG_1H2100_PLANT_Natural Gas and Other Gases,1714.815,Natural Gas and Other Gases,GA_13994_55382_PLANT
WA_15500_55700_1STG_HRSG1_1CLG_Natural Gas and Other Gases,27.848,Natural Gas and Other Gases,WA_15500_55700_1CLG
AL_18642_46_2_NSS2_SITE_Nuclear,10461.0,Nuclear,AL_18642_46_SITE
NE_8245_60_2_2_2_Coal,342.02400000000006,Coal,NE_8245_60_2
AZ_803_113_2_2_1_Coal,765.0,Coal,AZ_803_113_1
SC_17543_130_2_2_2_Coal,982.8200000000002,Coal,SC_17543_130_2
FL_21554_136_2_2_2_Coal,1244.778,Coal,FL_21554_136_2
OK_7490_165_2_2_2_Coal,1071.0,Coal,OK_7490_165_2
TX_54888_298_2_LIM2_C2_Coal,1689.3229999999999,Coal,TX_54888_298_C2
WA_20160_371_2_NSS2_CW_Nuclear,7193.664000000001,Nuclear,WA_20160_371_CW
CA_7294_377_2_8A_PLANT_Natural Gas and Other Gases,50.683,Natural Gas and Other Gases,CA_7294_377_PLANT
CA_7294_377_2_8BC_PLANT_Natural Gas and Other Gases,50.683,Natural Gas and Other Gases,CA_7294_377_PLANT
CA_9216_389_2_UNIT 2_2_Natural Gas and Other Gases,226.68,Natural Gas and Other Gases,CA_9216_389_2
CO_15466_469_2_2_PLANT_Coal,746.8560000000001,Coal,CO_15466_469_PLANT
CO_15466_470_2_2_PLANT_Coal,3583.652,Coal,CO_15466_470_PLANT
CO_15466_525_2_H2_PLANT_Coal,1430.128,Coal,CO_15466_525_PLANT
AL_189_533_2_HRSG1_MCWCT_Natural Gas and Other Gases,47.18000000000001,Natural Gas and Other Gases,AL_189_533_MCWCT
FL_14610_564_2_2_2_Coal,959.9,Coal,FL_14610_564_2
MD_60421_602_2_2_2_Coal,479.79999999999995,Coal,MD_60421_602_2
GA_7140_649_2_NSS2_PLANT_Nuclear,15999.060000000001,Nuclear,GA_7140_649_PLANT
FL_6909_663_2_B2_PLANT_Natural Gas and Other Gases,444.84599999999995,Natural Gas and Other Gases,FL_6909_663_PLANT
FL_18445_688_2_2_2_Natural Gas and Other Gases,333.66700000000003,Natural Gas and Other Gases,FL_18445_688_2
FL_18445_688_2_2A_2_Natural Gas and Other Gases,333.66700000000003,Natural Gas and Other Gases,FL_18445_688_2
GA_7140_703_2_2BLR_2CT_Coal,499.331,Coal,GA_7140_703_2CT
IL_55951_869_2_NSS2_PLANT_Nuclear,6212.592000000001,Nuclear,IL_55951_869_PLANT
IL_5517_889_2_2_1_Coal,4795.04,Coal,IL_5517_889_1
IL_17632_976_2_123_1-4_Coal,886.0,Coal,IL_17632_976_1-4
IN_15470_1001_2_2_2_Coal,1133.8399999999997,Coal,IN_15470_1001_2
IN_15470_1001_2_2_SUPP_Coal,2223.346,Coal,IN_15470_1001_SUPP
IN_15470_1007_2_CT3_PLANT_Natural Gas and Other Gases,101.74199999999999,Natural Gas and Other Gases,IN_15470_1007_PLANT
IN_15470_1007_2_CT4_PLANT_Natural Gas and Other Gases,101.74199999999999,Natural Gas and Other Gases,IN_15470_1007_PLANT
IN_15470_1007_2_CT5_PLANT_Natural Gas and Other Gases,101.74199999999999,Natural Gas and Other Gases,IN_15470_1007_PLANT
IN_15470_1008_2_2_2_Coal,14.564,Coal,IN_15470_1008_2
KY_10171_1356_2_2_1_Coal,1524.8949999999998,Coal,KY_10171_1356_1
KY_10171_1356_2_2_2_Coal,1644.677,Coal,KY_10171_1356_2
KY_11249_1364_2_2_2_Coal,692.449,Coal,KY_11249_1364_2
KY_5580_1384_2_2_PLANT_Coal,6.9670000000000005,Coal,KY_5580_1384_PLANT
LA_11241_1393_2_2A_2_Petroleum Products,247.40999999999997,Petroleum Products,LA_11241_1393_2
LA_17698_1417_2_2_CW_Natural Gas and Other Gases,22.109999999999996,Natural Gas and Other Gases,LA_17698_1417_CW
LA_11252_1464_2_1B2_1C2_Natural Gas and Other Gases,9.626,Natural Gas and Other Gases,LA_11252_1464_1C2
MI_5109_1729_2_NSS2_N71_Nuclear,6873.700000000001,Nuclear,MI_5109_1729_N71
MI_5109_1740_2_2_CWS_Coal,41.55,Coal,MI_5109_1740_CWS
MI_5109_1743_2_2_1_Coal,24.108,Coal,MI_5109_1743_1
MN_13781_1925_2_NSS2_0_Nuclear,9855.0,Nuclear,MN_13781_1925_0
MS_12686_2049_2_2_OTCW_Natural Gas and Other Gases,1026.732,Natural Gas and Other Gases,MS_12686_2049_OTCW
MS_17568_2070_2_2_A_Natural Gas and Other Gases,0.41600000000000004,Natural Gas and Other Gases,MS_17568_2070_A
MS_17568_2070_2_HRSG2_A_Natural Gas and Other Gases,0.41600000000000004,Natural Gas and Other Gases,MS_17568_2070_A
MO_56211_2098_2_1_1_Natural Gas and Other Gases,0.001,Natural Gas and Other Gases,MO_56211_2098_1
MO_56211_2098_2_2_1_Natural Gas and Other Gases,0.001,Natural Gas and Other Gases,MO_56211_2098_1
MO_56211_2098_2_4_1_Natural Gas and Other Gases,0.001,Natural Gas and Other Gases,MO_56211_2098_1
MO_56211_2098_2_5_1_Natural Gas and Other Gases,0.001,Natural Gas and Other Gases,MO_56211_2098_1
MO_56211_2098_2_1_2_Natural Gas and Other Gases,0.012,Natural Gas and Other Gases,MO_56211_2098_2
MO_56211_2098_2_2_2_Natural Gas and Other Gases,0.012,Natural Gas and Other Gases,MO_56211_2098_2
MO_56211_2098_2_4_2_Natural Gas and Other Gases,0.012,Natural Gas and Other Gases,MO_56211_2098_2
MO_56211_2098_2_5_2_Natural Gas and Other Gases,0.012,Natural Gas and Other Gases,MO_56211_2098_2
MO_56211_2098_2_1_3_Natural Gas and Other Gases,0.016,Natural Gas and Other Gases,MO_56211_2098_3
MO_56211_2098_2_2_3_Natural Gas and Other Gases,0.016,Natural Gas and Other Gases,MO_56211_2098_3
MO_56211_2098_2_4_3_Natural Gas and Other Gases,0.016,Natural Gas and Other Gases,MO_56211_2098_3
MO_56211_2098_2_5_3_Natural Gas and Other Gases,0.016,Natural Gas and Other Gases,MO_56211_2098_3
MO_924_2167_2_2_2_Coal,0.8539999999999999,Coal,MO_924_2167_2
MO_924_2168_2_MB2_CW12_Coal,105.72,Coal,MO_924_2168_CW12
NE_13337_2277_2_2_2_Coal,125.11399999999999,Coal,NE_13337_2277_2
NV_17166_2330_2_2_1_Natural Gas and Other Gases,1052.6619999999998,Natural Gas and Other Gases,NV_17166_2330_1
NJ_15147_2406_2_21_PLANT_Petroleum Products,757.2039999999998,Petroleum Products,NJ_15147_2406_PLANT
NJ_15147_2406_2_22_PLANT_Petroleum Products,757.2039999999998,Petroleum Products,NJ_15147_2406_PLANT
NM_15473_2450_2_2_2_Natural Gas and Other Gases,15.237,Natural Gas and Other Gases,NM_15473_2450_2
